EAR,MAR,LABEL
0.2509,0.0,Alert
0.2799,0.0,Alert
0.2857,0.0,Alert
0.2803,0.0,Alert
0.2796,0.0,Alert
0.2889,0.0,Alert
0.3053,0.0,Alert
0.297,0.0,Alert
0.29,0.0,Alert
0.297,0.0,Alert
0.2884,0.0,Alert
0.2967,0.0,Alert
0.3053,0.0217,Alert
0.3053,0.0217,Alert
0.3053,0.0213,Alert
0.3053,0.0,Alert
0.3134,0.0213,Alert
0.3134,0.0213,Alert
0.314,0.0,Alert
0.3098,0.0,Alert
0.3134,0.0,Alert
0.3096,0.0,Alert
0.2809,0.0,Alert
0.2895,0.0,Alert
0.2884,0.0,Alert
0.3131,0.0217,Alert
0.297,0.0,Alert
0.3136,0.0,Alert
0.3136,0.0,Alert
0.3053,0.0,Alert
0.3053,0.0,Alert
0.3136,0.0,Alert
0.3057,0.0,Alert
0.2852,0.0217,Alert
0.2894,0.0217,Alert
0.2975,0.0,Alert
0.311,0.0217,Alert
0.3191,0.0,Alert
0.32,0.0213,Alert
0.3195,0.0213,Alert
0.2971,0.0,Alert
0.2799,0.0,Alert
0.2624,0.0,Alert
0.2799,0.0,Alert
0.2588,0.0,Alert
0.2713,0.0169,Alert
0.2754,0.0,Alert
0.2673,0.0,Alert
0.2744,0.0,Alert
0.2495,0.0,Alert
0.2673,0.0,Alert
0.2809,0.0,Alert
0.2723,0.0,Alert
0.2541,0.0,Alert
0.2501,0.0,Alert
0.2506,0.0,Alert
0.25,0.0,Alert
0.2677,0.0,Alert
0.2677,0.0,Alert
0.2595,0.0,Alert
0.2631,0.0,Alert
0.2584,0.0,Alert
0.2849,0.0,Alert
0.2989,0.0217,Alert
0.3083,0.0,Alert
0.3157,0.0,Alert
0.3177,0.0,Alert
0.327,0.0,Alert
0.3365,0.0301,Alert
0.334,0.0,Alert
0.3413,0.0217,Alert
0.3544,0.0213,Alert
0.335,0.0833,Alert
0.3365,0.0,Alert
0.3429,0.02,Alert
0.3217,0.2292,Alert
0.3495,0.2716,Alert
0.3508,0.2618,Alert
0.3594,0.3267,Alert
0.343,0.2737,Alert
0.345,0.238,Alert
0.3431,0.1667,Alert
0.3599,0.093,Alert
0.3599,0.0232,Alert
0.3558,0.0,Alert
0.3492,0.0233,Alert
0.3469,0.0,Alert
0.3407,0.0,Alert
0.3341,0.0,Alert
0.3304,0.0,Alert
0.3407,0.0,Alert
0.342,0.0,Alert
0.327,0.0,Alert
0.3343,0.0,Alert
0.3278,0.0,Alert
0.3467,0.0,Alert
0.3468,0.0,Alert
0.3388,0.0,Alert
0.3463,0.0204,Alert
0.3411,0.0,Alert
0.3476,0.0,Alert
0.3479,0.0,Alert
0.347,0.0,Alert
0.3483,0.0,Alert
0.3399,0.0,Alert
0.349,0.0,Alert
0.3412,0.0213,Alert
0.3462,0.0,Alert
0.336,0.0217,Alert
0.3399,0.0,Alert
0.3486,0.0,Alert
0.3486,0.0,Alert
0.3482,0.0,Alert
0.3545,0.0,Alert
0.3629,0.0,Alert
0.3545,0.0,Alert
0.365,0.0,Alert
0.3454,0.0,Alert
0.3268,0.0,Alert
0.3508,0.0,Alert
0.3406,0.0,Alert
0.3315,0.0,Alert
0.3381,0.0,Alert
0.32,0.0,Alert
0.3491,0.0217,Alert
0.3404,0.0,Alert
0.3392,0.0,Alert
0.3373,0.0,Alert
0.3486,0.0,Alert
0.3409,0.0213,Alert
0.34,0.0,Alert
0.3397,0.0,Alert
0.337,0.0,Alert
0.3313,0.0213,Alert
0.3464,0.0,Alert
0.3472,0.0,Alert
0.3457,0.0,Alert
0.3537,0.0,Alert
0.3439,0.0,Alert
0.3321,0.0,Alert
0.3469,0.0213,Alert
0.3418,0.0,Alert
0.3507,0.0,Alert
0.3408,0.0,Alert
0.349,0.0,Alert
0.349,0.0,Alert
0.3305,0.0,Alert
0.3364,0.0,Alert
0.3065,0.0,Alert
0.32,0.0,Alert
0.3178,0.0,Alert
0.3106,0.0,Alert
0.311,0.0,Alert
0.311,0.0,Alert
0.3031,0.0,Alert
0.2951,0.0,Alert
0.2871,0.0152,Alert
0.2876,0.0147,Alert
0.2872,0.0,Alert
0.2864,0.0,Alert
0.3019,0.0298,Alert
0.3016,0.0147,Alert
0.2847,0.0147,Alert
0.2855,0.0149,Alert
0.2909,0.0214,Alert
0.2829,0.0,Alert
0.2913,0.0,Alert
0.2917,0.0149,Alert
0.2883,0.0,Alert
